"MTU (UTC)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"02/01/2023 08:00 - 02/01/2023 09:00","CTA|SE","18348.00","18250.00"
"02/01/2023 09:00 - 02/01/2023 10:00","CTA|SE","18434.00","18484.00"
"02/01/2023 10:00 - 02/01/2023 11:00","CTA|SE","18415.00","18591.00"
"02/01/2023 11:00 - 02/01/2023 12:00","CTA|SE","18854.00","18658.00"
"02/01/2023 12:00 - 02/01/2023 13:00","CTA|SE","18827.00","18671.00"
"02/01/2023 13:00 - 02/01/2023 14:00","CTA|SE","18905.00","18735.00"
"02/01/2023 14:00 - 02/01/2023 15:00","CTA|SE","19178.00","19052.00"
"02/01/2023 15:00 - 02/01/2023 16:00","CTA|SE","19256.00","19270.00"
"02/01/2023 16:00 - 02/01/2023 17:00","CTA|SE","19194.00","19294.00"
"02/01/2023 17:00 - 02/01/2023 18:00","CTA|SE","18906.00","18966.00"
"02/01/2023 18:00 - 02/01/2023 19:00","CTA|SE","18100.00","18548.00"
"02/01/2023 19:00 - 02/01/2023 20:00","CTA|SE","17590.00","18058.00"
"02/01/2023 20:00 - 02/01/2023 21:00","CTA|SE","16984.00","17478.00"
"02/01/2023 21:00 - 02/01/2023 22:00","CTA|SE","16325.00","16858.00"
"02/01/2023 22:00 - 02/01/2023 23:00","CTA|SE","16252.00","16235.00"
"02/01/2023 23:00 - 03/01/2023 00:00","CTA|SE","15914.00","15398.00"
"03/01/2023 00:00 - 03/01/2023 01:00","CTA|SE","15388.00","15197.00"
"03/01/2023 01:00 - 03/01/2023 02:00","CTA|SE","15230.00","15179.00"
"03/01/2023 02:00 - 03/01/2023 03:00","CTA|SE","15189.00","15209.00"
"03/01/2023 03:00 - 03/01/2023 04:00","CTA|SE","15487.00","15451.00"
"03/01/2023 04:00 - 03/01/2023 05:00","CTA|SE","16115.00","16031.00"
"03/01/2023 05:00 - 03/01/2023 06:00","CTA|SE","17264.00","17266.00"
"03/01/2023 06:00 - 03/01/2023 07:00","CTA|SE","18274.00","18491.00"
"03/01/2023 07:00 - 03/01/2023 08:00","CTA|SE","18802.00","19197.00"
"03/01/2023 08:00 - 03/01/2023 09:00","CTA|SE","19102.00","19413.00"
"03/01/2023 09:00 - 03/01/2023 10:00","CTA|SE","19455.00","19654.00"
"03/01/2023 10:00 - 03/01/2023 11:00","CTA|SE","19517.00","19725.00"
"03/01/2023 11:00 - 03/01/2023 12:00","CTA|SE","19432.00","19765.00"
"03/01/2023 12:00 - 03/01/2023 13:00","CTA|SE","19684.00","19795.00"
"03/01/2023 13:00 - 03/01/2023 14:00","CTA|SE","20295.00","19912.00"
"03/01/2023 14:00 - 03/01/2023 15:00","CTA|SE","20618.00","20325.00"
"03/01/2023 15:00 - 03/01/2023 16:00","CTA|SE","21119.00","20640.00"
"03/01/2023 16:00 - 03/01/2023 17:00","CTA|SE","21184.00","20741.00"
"03/01/2023 17:00 - 03/01/2023 18:00","CTA|SE","20797.00","20465.00"
"03/01/2023 18:00 - 03/01/2023 19:00","CTA|SE","20221.00","20071.00"
"03/01/2023 19:00 - 03/01/2023 20:00","CTA|SE","19423.00","19595.00"
"03/01/2023 20:00 - 03/01/2023 21:00","CTA|SE","18905.00","19020.00"
"03/01/2023 21:00 - 03/01/2023 22:00","CTA|SE","18316.00","18388.00"
"03/01/2023 22:00 - 03/01/2023 23:00","CTA|SE","17617.00","17735.00"
"03/01/2023 23:00 - 04/01/2023 00:00","CTA|SE","17265.00","16782.00"
"04/01/2023 00:00 - 04/01/2023 01:00","CTA|SE","17089.00","16553.00"
"04/01/2023 01:00 - 04/01/2023 02:00","CTA|SE","16889.00","16462.00"
"04/01/2023 02:00 - 04/01/2023 03:00","CTA|SE","16884.00","16408.00"
"04/01/2023 03:00 - 04/01/2023 04:00","CTA|SE","16873.00","16547.00"
"04/01/2023 04:00 - 04/01/2023 05:00","CTA|SE","17514.00","17052.00"
"04/01/2023 05:00 - 04/01/2023 06:00","CTA|SE","19001.00","18199.00"
"04/01/2023 06:00 - 04/01/2023 07:00","CTA|SE","20325.00","19313.00"
"04/01/2023 07:00 - 04/01/2023 08:00","CTA|SE","20733.00","19880.00"
"04/01/2023 08:00 - 04/01/2023 09:00","CTA|SE","20977.00","19975.00"
"04/01/2023 09:00 - 04/01/2023 10:00","CTA|SE","21416.00","20143.00"
"04/01/2023 10:00 - 04/01/2023 11:00","CTA|SE","21515.00","20211.00"
"04/01/2023 11:00 - 04/01/2023 12:00","CTA|SE","21546.00","20212.00"
"04/01/2023 12:00 - 04/01/2023 13:00","CTA|SE","21393.00","20151.00"
"04/01/2023 13:00 - 04/01/2023 14:00","CTA|SE","21475.00","20130.00"
"04/01/2023 14:00 - 04/01/2023 15:00","CTA|SE","21677.00","20321.00"
"04/01/2023 15:00 - 04/01/2023 16:00","CTA|SE","21702.00","20408.00"
"04/01/2023 16:00 - 04/01/2023 17:00","CTA|SE","21667.00","20358.00"
"04/01/2023 17:00 - 04/01/2023 18:00","CTA|SE","21104.00","19961.00"
"04/01/2023 18:00 - 04/01/2023 19:00","CTA|SE","20786.00","19446.00"
"04/01/2023 19:00 - 04/01/2023 20:00","CTA|SE","20150.00","18881.00"
"04/01/2023 20:00 - 04/01/2023 21:00","CTA|SE","19336.00","18218.00"
"04/01/2023 21:00 - 04/01/2023 22:00","CTA|SE","18543.00","17522.00"
"04/01/2023 22:00 - 04/01/2023 23:00","CTA|SE","17980.00","16888.00"
"04/01/2023 23:00 - 05/01/2023 00:00","CTA|SE","17595.00","16417.00"
"05/01/2023 00:00 - 05/01/2023 01:00","CTA|SE","17188.00","16130.00"
"05/01/2023 01:00 - 05/01/2023 02:00","CTA|SE","17031.00","16046.00"
"05/01/2023 02:00 - 05/01/2023 03:00","CTA|SE","17216.00","16101.00"
"05/01/2023 03:00 - 05/01/2023 04:00","CTA|SE","17004.00","16343.00"
"05/01/2023 04:00 - 05/01/2023 05:00","CTA|SE","17428.00","16946.00"
"05/01/2023 05:00 - 05/01/2023 06:00","CTA|SE","18454.00","18245.00"
"05/01/2023 06:00 - 05/01/2023 07:00","CTA|SE","19934.00","19429.00"
"05/01/2023 07:00 - 05/01/2023 08:00","CTA|SE","20598.00","20013.00"
"05/01/2023 08:00 - 05/01/2023 09:00","CTA|SE","20863.00","20261.00"
"05/01/2023 09:00 - 05/01/2023 10:00","CTA|SE","20694.00","20547.00"
"05/01/2023 10:00 - 05/01/2023 11:00","CTA|SE","20536.00","20681.00"
"05/01/2023 11:00 - 05/01/2023 12:00","CTA|SE","20690.00","20693.00"
"05/01/2023 12:00 - 05/01/2023 13:00","CTA|SE","20584.00","20675.00"
"05/01/2023 13:00 - 05/01/2023 14:00","CTA|SE","20609.00","20694.00"
"05/01/2023 14:00 - 05/01/2023 15:00","CTA|SE","21022.00","21049.00"
"05/01/2023 15:00 - 05/01/2023 16:00","CTA|SE","21279.00","21349.00"
"05/01/2023 16:00 - 05/01/2023 17:00","CTA|SE","21206.00","21404.00"
"05/01/2023 17:00 - 05/01/2023 18:00","CTA|SE","20757.00","21082.00"
"05/01/2023 18:00 - 05/01/2023 19:00","CTA|SE","20000.00","20671.00"
"05/01/2023 19:00 - 05/01/2023 20:00","CTA|SE","19278.00","20215.00"
"05/01/2023 20:00 - 05/01/2023 21:00","CTA|SE","18733.00","19664.00"
"05/01/2023 21:00 - 05/01/2023 22:00","CTA|SE","18076.00","19101.00"
"05/01/2023 22:00 - 05/01/2023 23:00","CTA|SE","17568.00","18577.00"
"05/01/2023 23:00 - 06/01/2023 00:00","CTA|SE","17350.00","17918.00"
"06/01/2023 00:00 - 06/01/2023 01:00","CTA|SE","17102.00","17638.00"
"06/01/2023 01:00 - 06/01/2023 02:00","CTA|SE","16827.00","17499.00"
"06/01/2023 02:00 - 06/01/2023 03:00","CTA|SE","16693.00","17454.00"
"06/01/2023 03:00 - 06/01/2023 04:00","CTA|SE","16731.00","17565.00"
"06/01/2023 04:00 - 06/01/2023 05:00","CTA|SE","16731.00","17695.00"
"06/01/2023 05:00 - 06/01/2023 06:00","CTA|SE","17127.00","18105.00"
"06/01/2023 06:00 - 06/01/2023 07:00","CTA|SE","17681.00","18524.00"
"06/01/2023 07:00 - 06/01/2023 08:00","CTA|SE","18206.00","18976.00"
"06/01/2023 08:00 - 06/01/2023 09:00","CTA|SE","18409.00","19334.00"
"06/01/2023 09:00 - 06/01/2023 10:00","CTA|SE","18922.00","19715.00"
"06/01/2023 10:00 - 06/01/2023 11:00","CTA|SE","19335.00","19921.00"
"06/01/2023 11:00 - 06/01/2023 12:00","CTA|SE","19702.00","19984.00"
"06/01/2023 12:00 - 06/01/2023 13:00","CTA|SE","19552.00","19885.00"
"06/01/2023 13:00 - 06/01/2023 14:00","CTA|SE","19716.00","19864.00"
"06/01/2023 14:00 - 06/01/2023 15:00","CTA|SE","20133.00","20197.00"
"06/01/2023 15:00 - 06/01/2023 16:00","CTA|SE","20105.00","20560.00"
"06/01/2023 16:00 - 06/01/2023 17:00","CTA|SE","19834.00","20613.00"
"06/01/2023 17:00 - 06/01/2023 18:00","CTA|SE","19741.00","20292.00"
"06/01/2023 18:00 - 06/01/2023 19:00","CTA|SE","18995.00","19845.00"
"06/01/2023 19:00 - 06/01/2023 20:00","CTA|SE","18301.00","19367.00"
"06/01/2023 20:00 - 06/01/2023 21:00","CTA|SE","17646.00","18748.00"
"06/01/2023 21:00 - 06/01/2023 22:00","CTA|SE","17328.00","18049.00"
"06/01/2023 22:00 - 06/01/2023 23:00","CTA|SE","16889.00","17421.00"
"06/01/2023 23:00 - 07/01/2023 00:00","CTA|SE","16714.00","16845.00"
"07/01/2023 00:00 - 07/01/2023 01:00","CTA|SE","16251.00","16458.00"
"07/01/2023 01:00 - 07/01/2023 02:00","CTA|SE","15907.00","16256.00"
"07/01/2023 02:00 - 07/01/2023 03:00","CTA|SE","15745.00","16144.00"
"07/01/2023 03:00 - 07/01/2023 04:00","CTA|SE","15727.00","16147.00"
"07/01/2023 04:00 - 07/01/2023 05:00","CTA|SE","15630.00","16237.00"
"07/01/2023 05:00 - 07/01/2023 06:00","CTA|SE","15815.00","16560.00"
"07/01/2023 06:00 - 07/01/2023 07:00","CTA|SE","16471.00","17029.00"
"07/01/2023 07:00 - 07/01/2023 08:00","CTA|SE","16870.00","17585.00"
"07/01/2023 08:00 - 07/01/2023 09:00","CTA|SE","17410.00","18072.00"
"07/01/2023 09:00 - 07/01/2023 10:00","CTA|SE","17785.00","18449.00"
"07/01/2023 10:00 - 07/01/2023 11:00","CTA|SE","18074.00","18622.00"
"07/01/2023 11:00 - 07/01/2023 12:00","CTA|SE","17963.00","18600.00"
"07/01/2023 12:00 - 07/01/2023 13:00","CTA|SE","17831.00","18519.00"
"07/01/2023 13:00 - 07/01/2023 14:00","CTA|SE","17783.00","18492.00"
"07/01/2023 14:00 - 07/01/2023 15:00","CTA|SE","18220.00","18680.00"
"07/01/2023 15:00 - 07/01/2023 16:00","CTA|SE","18783.00","19042.00"
"07/01/2023 16:00 - 07/01/2023 17:00","CTA|SE","19024.00","19091.00"
"07/01/2023 17:00 - 07/01/2023 18:00","CTA|SE","18836.00","18735.00"
"07/01/2023 18:00 - 07/01/2023 19:00","CTA|SE","18087.00","18176.00"
"07/01/2023 19:00 - 07/01/2023 20:00","CTA|SE","17654.00","17536.00"
"07/01/2023 20:00 - 07/01/2023 21:00","CTA|SE","17121.00","16921.00"
"07/01/2023 21:00 - 07/01/2023 22:00","CTA|SE","16652.00","16318.00"
"07/01/2023 22:00 - 07/01/2023 23:00","CTA|SE","16208.00","15750.00"
"07/01/2023 23:00 - 08/01/2023 00:00","CTA|SE","15850.00","15288.00"
"08/01/2023 00:00 - 08/01/2023 01:00","CTA|SE","15715.00","14987.00"
"08/01/2023 01:00 - 08/01/2023 02:00","CTA|SE","15714.00","14795.00"
"08/01/2023 02:00 - 08/01/2023 03:00","CTA|SE","15495.00","14690.00"
"08/01/2023 03:00 - 08/01/2023 04:00","CTA|SE","15482.00","14704.00"
"08/01/2023 04:00 - 08/01/2023 05:00","CTA|SE","15447.00","14800.00"
"08/01/2023 05:00 - 08/01/2023 06:00","CTA|SE","15374.00","15108.00"
"08/01/2023 06:00 - 08/01/2023 07:00","CTA|SE","15405.00","15510.00"
"08/01/2023 07:00 - 08/01/2023 08:00","CTA|SE","15731.00","15979.00"
"08/01/2023 08:00 - 08/01/2023 09:00","CTA|SE","16412.00","16477.00"
"08/01/2023 09:00 - 08/01/2023 10:00","CTA|SE","17258.00","16950.00"
"08/01/2023 10:00 - 08/01/2023 11:00","CTA|SE","17328.00","17290.00"
"08/01/2023 11:00 - 08/01/2023 12:00","CTA|SE","17523.00","17443.00"
"08/01/2023 12:00 - 08/01/2023 13:00","CTA|SE","17643.00","17456.00"
"08/01/2023 13:00 - 08/01/2023 14:00","CTA|SE","17619.00","17504.00"
"08/01/2023 14:00 - 08/01/2023 15:00","CTA|SE","17673.00","17763.00"
"08/01/2023 15:00 - 08/01/2023 16:00","CTA|SE","18357.00","18194.00"
"08/01/2023 16:00 - 08/01/2023 17:00","CTA|SE","18653.00","18365.00"
"08/01/2023 17:00 - 08/01/2023 18:00","CTA|SE","18211.00","18122.00"
"08/01/2023 18:00 - 08/01/2023 19:00","CTA|SE","17940.00","17786.00"
"08/01/2023 19:00 - 08/01/2023 20:00","CTA|SE","17683.00","17314.00"
"08/01/2023 20:00 - 08/01/2023 21:00","CTA|SE","17145.00","16685.00"
"08/01/2023 21:00 - 08/01/2023 22:00","CTA|SE","16547.00","16059.00"
"08/01/2023 22:00 - 08/01/2023 23:00","CTA|SE","16028.00","15474.00"
"08/01/2023 23:00 - 09/01/2023 00:00","CTA|SE","15594.00","15086.00"
"09/01/2023 00:00 - 09/01/2023 01:00","CTA|SE","15217.00","14886.00"
"09/01/2023 01:00 - 09/01/2023 02:00","CTA|SE","15093.00","14848.00"
"09/01/2023 02:00 - 09/01/2023 03:00","CTA|SE","15167.00","14875.00"
"09/01/2023 03:00 - 09/01/2023 04:00","CTA|SE","15275.00","15155.00"
"09/01/2023 04:00 - 09/01/2023 05:00","CTA|SE","15801.00","15842.00"
"09/01/2023 05:00 - 09/01/2023 06:00","CTA|SE","17222.00","17417.00"
"09/01/2023 06:00 - 09/01/2023 07:00","CTA|SE","18487.00","18871.00"
"09/01/2023 07:00 - 09/01/2023 08:00","CTA|SE","18720.00","19283.00"
"09/01/2023 08:00 - 09/01/2023 09:00","CTA|SE","18803.00","19222.00"
"09/01/2023 09:00 - 09/01/2023 10:00","CTA|SE","19059.00","19270.00"
"09/01/2023 10:00 - 09/01/2023 11:00","CTA|SE","19002.00","19287.00"
"09/01/2023 11:00 - 09/01/2023 12:00","CTA|SE","19131.00","19285.00"
"09/01/2023 12:00 - 09/01/2023 13:00","CTA|SE","19302.00","19194.00"
"09/01/2023 13:00 - 09/01/2023 14:00","CTA|SE","19322.00","19220.00"
"09/01/2023 14:00 - 09/01/2023 15:00","CTA|SE","19621.00","19403.00"
"09/01/2023 15:00 - 09/01/2023 16:00","CTA|SE","19623.00","19536.00"
"09/01/2023 16:00 - 09/01/2023 17:00","CTA|SE","19688.00","19621.00"
"09/01/2023 17:00 - 09/01/2023 18:00","CTA|SE","19233.00","19205.00"
"09/01/2023 18:00 - 09/01/2023 19:00","CTA|SE","18788.00","18738.00"
"09/01/2023 19:00 - 09/01/2023 20:00","CTA|SE","18279.00","18179.00"
"09/01/2023 20:00 - 09/01/2023 21:00","CTA|SE","17654.00","17477.00"
"09/01/2023 21:00 - 09/01/2023 22:00","CTA|SE","16849.00","16657.00"
"09/01/2023 22:00 - 09/01/2023 23:00","CTA|SE","16168.00","15858.00"
"09/01/2023 23:00 - 10/01/2023 00:00","CTA|SE","15812.00","15459.00"
"10/01/2023 00:00 - 10/01/2023 01:00","CTA|SE","15339.00","15215.00"
"10/01/2023 01:00 - 10/01/2023 02:00","CTA|SE","15246.00","15132.00"
"10/01/2023 02:00 - 10/01/2023 03:00","CTA|SE","15133.00","15153.00"
"10/01/2023 03:00 - 10/01/2023 04:00","CTA|SE","15284.00","15381.00"
"10/01/2023 04:00 - 10/01/2023 05:00","CTA|SE","15698.00","16081.00"
"10/01/2023 05:00 - 10/01/2023 06:00","CTA|SE","17257.00","17618.00"
"10/01/2023 06:00 - 10/01/2023 07:00","CTA|SE","18493.00","19017.00"
"10/01/2023 07:00 - 10/01/2023 08:00","CTA|SE","18833.00","19350.00"
"10/01/2023 08:00 - 10/01/2023 09:00","CTA|SE","18607.00","19259.00"
"10/01/2023 09:00 - 10/01/2023 10:00","CTA|SE","18848.00","19296.00"
"10/01/2023 10:00 - 10/01/2023 11:00","CTA|SE","18576.00","19309.00"
"10/01/2023 11:00 - 10/01/2023 12:00","CTA|SE","18517.00","19254.00"
"10/01/2023 12:00 - 10/01/2023 13:00","CTA|SE","18374.00","19184.00"
"10/01/2023 13:00 - 10/01/2023 14:00","CTA|SE","18554.00","19188.00"
"10/01/2023 14:00 - 10/01/2023 15:00","CTA|SE","18752.00","19393.00"
"10/01/2023 15:00 - 10/01/2023 16:00","CTA|SE","18949.00","19600.00"
"10/01/2023 16:00 - 10/01/2023 17:00","CTA|SE","19123.00","19728.00"
"10/01/2023 17:00 - 10/01/2023 18:00","CTA|SE","18591.00","19378.00"
"10/01/2023 18:00 - 10/01/2023 19:00","CTA|SE","18199.00","18938.00"
"10/01/2023 19:00 - 10/01/2023 20:00","CTA|SE","17609.00","18359.00"
"10/01/2023 20:00 - 10/01/2023 21:00","CTA|SE","16761.00","17661.00"
"10/01/2023 21:00 - 10/01/2023 22:00","CTA|SE","15875.00","16857.00"
"10/01/2023 22:00 - 10/01/2023 23:00","CTA|SE","15151.00","16081.00"
"10/01/2023 23:00 - 11/01/2023 00:00","CTA|SE","14844.00","15497.00"
"11/01/2023 00:00 - 11/01/2023 01:00","CTA|SE","14708.00","15193.00"
"11/01/2023 01:00 - 11/01/2023 02:00","CTA|SE","14802.00","15075.00"
"11/01/2023 02:00 - 11/01/2023 03:00","CTA|SE","14773.00","15072.00"
"11/01/2023 03:00 - 11/01/2023 04:00","CTA|SE","14769.00","15265.00"
"11/01/2023 04:00 - 11/01/2023 05:00","CTA|SE","15329.00","15927.00"
"11/01/2023 05:00 - 11/01/2023 06:00","CTA|SE","16997.00","17410.00"
"11/01/2023 06:00 - 11/01/2023 07:00","CTA|SE","18609.00","18765.00"
"11/01/2023 07:00 - 11/01/2023 08:00","CTA|SE","19182.00","19063.00"
"11/01/2023 08:00 - 11/01/2023 09:00","CTA|SE","19085.00","18975.00"
"11/01/2023 09:00 - 11/01/2023 10:00","CTA|SE","18857.00","19015.00"
"11/01/2023 10:00 - 11/01/2023 11:00","CTA|SE","18858.00","19024.00"
"11/01/2023 11:00 - 11/01/2023 12:00","CTA|SE","18720.00","18970.00"
"11/01/2023 12:00 - 11/01/2023 13:00","CTA|SE","18532.00","18866.00"
"11/01/2023 13:00 - 11/01/2023 14:00","CTA|SE","18287.00","18840.00"
"11/01/2023 14:00 - 11/01/2023 15:00","CTA|SE","18403.00","19014.00"
"11/01/2023 15:00 - 11/01/2023 16:00","CTA|SE","18548.00","19215.00"
"11/01/2023 16:00 - 11/01/2023 17:00","CTA|SE","18599.00","19368.00"
"11/01/2023 17:00 - 11/01/2023 18:00","CTA|SE","18183.00","18989.00"
"11/01/2023 18:00 - 11/01/2023 19:00","CTA|SE","17474.00","18571.00"
"11/01/2023 19:00 - 11/01/2023 20:00","CTA|SE","17075.00","18029.00"
"11/01/2023 20:00 - 11/01/2023 21:00","CTA|SE","16262.00","17350.00"
"11/01/2023 21:00 - 11/01/2023 22:00","CTA|SE","15395.00","16559.00"
"11/01/2023 22:00 - 11/01/2023 23:00","CTA|SE","14650.00","15800.00"
"11/01/2023 23:00 - 12/01/2023 00:00","CTA|SE","14638.00","15203.00"
"12/01/2023 00:00 - 12/01/2023 01:00","CTA|SE","14309.00","14975.00"
"12/01/2023 01:00 - 12/01/2023 02:00","CTA|SE","14100.00","14896.00"
"12/01/2023 02:00 - 12/01/2023 03:00","CTA|SE","13776.00","14924.00"
"12/01/2023 03:00 - 12/01/2023 04:00","CTA|SE","13944.00","15152.00"
"12/01/2023 04:00 - 12/01/2023 05:00","CTA|SE","14509.00","15828.00"
"12/01/2023 05:00 - 12/01/2023 06:00","CTA|SE","16545.00","17327.00"
"12/01/2023 06:00 - 12/01/2023 07:00","CTA|SE","17941.00","18702.00"
"12/01/2023 07:00 - 12/01/2023 08:00","CTA|SE","18256.00","19003.00"
"12/01/2023 08:00 - 12/01/2023 09:00","CTA|SE","17852.00","18941.00"
"12/01/2023 09:00 - 12/01/2023 10:00","CTA|SE","18228.00","18988.00"
"12/01/2023 10:00 - 12/01/2023 11:00","CTA|SE","18314.00","19012.00"
"12/01/2023 11:00 - 12/01/2023 12:00","CTA|SE","18141.00","18986.00"
"12/01/2023 12:00 - 12/01/2023 13:00","CTA|SE","18387.00","18922.00"
"12/01/2023 13:00 - 12/01/2023 14:00","CTA|SE","18353.00","18938.00"
"12/01/2023 14:00 - 12/01/2023 15:00","CTA|SE","18434.00","19144.00"
"12/01/2023 15:00 - 12/01/2023 16:00","CTA|SE","18640.00","19374.00"
"12/01/2023 16:00 - 12/01/2023 17:00","CTA|SE","18778.00","19560.00"
"12/01/2023 17:00 - 12/01/2023 18:00","CTA|SE","18345.00","19207.00"
"12/01/2023 18:00 - 12/01/2023 19:00","CTA|SE","17955.00","18766.00"
"12/01/2023 19:00 - 12/01/2023 20:00","CTA|SE","17249.00","18197.00"
"12/01/2023 20:00 - 12/01/2023 21:00","CTA|SE","16748.00","17502.00"
"12/01/2023 21:00 - 12/01/2023 22:00","CTA|SE","15935.00","16724.00"
"12/01/2023 22:00 - 12/01/2023 23:00","CTA|SE","15303.00","15988.00"
"12/01/2023 23:00 - 13/01/2023 00:00","CTA|SE","14856.00","15307.00"
"13/01/2023 00:00 - 13/01/2023 01:00","CTA|SE","14494.00","15047.00"
"13/01/2023 01:00 - 13/01/2023 02:00","CTA|SE","14392.00","14952.00"
"13/01/2023 02:00 - 13/01/2023 03:00","CTA|SE","14305.00","14951.00"
"13/01/2023 03:00 - 13/01/2023 04:00","CTA|SE","14449.00","15140.00"
"13/01/2023 04:00 - 13/01/2023 05:00","CTA|SE","15072.00","15770.00"
"13/01/2023 05:00 - 13/01/2023 06:00","CTA|SE","16836.00","17211.00"
"13/01/2023 06:00 - 13/01/2023 07:00","CTA|SE","18297.00","18589.00"
"13/01/2023 07:00 - 13/01/2023 08:00","CTA|SE","18572.00","18925.00"
"13/01/2023 08:00 - 13/01/2023 09:00","CTA|SE","18460.00","18897.00"
"13/01/2023 09:00 - 13/01/2023 10:00","CTA|SE","18396.00","18879.00"
"13/01/2023 10:00 - 13/01/2023 11:00","CTA|SE","18298.00","18787.00"
"13/01/2023 11:00 - 13/01/2023 12:00","CTA|SE","18169.00","18616.00"
"13/01/2023 12:00 - 13/01/2023 13:00","CTA|SE","17937.00","18324.00"
"13/01/2023 13:00 - 13/01/2023 14:00","CTA|SE","17942.00","18220.00"
"13/01/2023 14:00 - 13/01/2023 15:00","CTA|SE","18100.00","18292.00"
"13/01/2023 15:00 - 13/01/2023 16:00","CTA|SE","18469.00","18663.00"
"13/01/2023 16:00 - 13/01/2023 17:00","CTA|SE","18578.00","18834.00"
"13/01/2023 17:00 - 13/01/2023 18:00","CTA|SE","18208.00","18421.00"
"13/01/2023 18:00 - 13/01/2023 19:00","CTA|SE","17560.00","17808.00"
"13/01/2023 19:00 - 13/01/2023 20:00","CTA|SE","16627.00","17136.00"
"13/01/2023 20:00 - 13/01/2023 21:00","CTA|SE","15900.00","16480.00"
"13/01/2023 21:00 - 13/01/2023 22:00","CTA|SE","15475.00","15845.00"
"13/01/2023 22:00 - 13/01/2023 23:00","CTA|SE","14919.00","15258.00"
"13/01/2023 23:00 - 14/01/2023 00:00","CTA|SE","14471.00","14575.00"
"14/01/2023 00:00 - 14/01/2023 01:00","CTA|SE","14289.00","14263.00"
"14/01/2023 01:00 - 14/01/2023 02:00","CTA|SE","14189.00","14111.00"
"14/01/2023 02:00 - 14/01/2023 03:00","CTA|SE","14118.00","14064.00"
"14/01/2023 03:00 - 14/01/2023 04:00","CTA|SE","13896.00","14127.00"
"14/01/2023 04:00 - 14/01/2023 05:00","CTA|SE","13750.00","14298.00"
"14/01/2023 05:00 - 14/01/2023 06:00","CTA|SE","14051.00","14714.00"
"14/01/2023 06:00 - 14/01/2023 07:00","CTA|SE","14747.00","15271.00"
"14/01/2023 07:00 - 14/01/2023 08:00","CTA|SE","15502.00","15885.00"
"14/01/2023 08:00 - 14/01/2023 09:00","CTA|SE","16050.00","16466.00"
"14/01/2023 09:00 - 14/01/2023 10:00","CTA|SE","16362.00","16888.00"
"14/01/2023 10:00 - 14/01/2023 11:00","CTA|SE","16040.00","17098.00"
